year            tranCount               Name
1971            2.300e+03               4004
1972            2.500e+03               8008
1974            4.500e+03               8080
1978            2.900e+04               8086
1982            1.340e+05               80286
1985            2.750e+05               80386
1989            1.200e+06               80486
1993            3.100e+06               Pentium
1997            7.500e+06               PentiumII
1999            9.500e+06               PentiumIII
2000            4.200e+07               Pentium4
2001            2.500e+07               Itanium
2002            2.200e+08               Itanium2
2004            5.920e+08               Itanium2(9MBcache)
